ObstacleID, Description    , Elevation at top of Obstacle (m), Easting NZTM, Northing NZTM, Latitude        , Longitude        , Date Surveyed, Source    , Surveyor
NZRO20019 , GROUND         ,                           350.2 ,   1893028.2 ,    5779865.09, 38 04 53.55316 S, 176 20 26.87546 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20020 , GROUND         ,                           374.26,   1888685.49,    5770813.53, 38 09 51.77880 S, 176 17 42.09379 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20021 , GROUND         ,                           398.71,   1888644.45,    5770850.23, 38 09 50.63731 S, 176 17 40.35647 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20022 , GROUND         ,                           523.74,   1888472.88,    5771080.81, 38 09 43.36602 S, 176 17 32.98115 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20023 , GROUND         ,                           471.27,   1888342.71,    5771246.08, 38 09 38.16245 S, 176 17 27.39988 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20024 , GROUND         ,                           440.97,   1888230.08,    5771363.5 , 38 09 34.48858 S, 176 17 22.60811 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20025 , GROUND         ,                           414.3 ,   1888833.2 ,    5770929.62, 38 09 47.84819 S, 176 17 47.98440 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20026 , GROUND         ,                           481.54,   1888683.82,    5770975.2 , 38 09 46.54394 S, 176 17 41.78931 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20027 , GROUND         ,                           473.1 ,   1888652.45,    5771001.08, 38 09 45.74179 S, 176 17 40.46455 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20028 , GROUND         ,                           527.65,   1888552.9 ,    5771089.62, 38 09 42.98850 S, 176 17 36.25121 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20029 , GROUND         ,                           473.87,   1888502.15,    5771257.45, 38 09 37.61062 S, 176 17 33.92437 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20030 , GROUND         ,                           418.34,   1888415.48,    5771329.94, 38 09 35.36231 S, 176 17 30.26303 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20031 , GROUND         ,                           436.2 ,   1888843.1 ,    5770964.68, 38 09 46.70112 S, 176 17 48.33937 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20032 , GROUND         ,                           516.18,   1888760.6 ,    5771070.71, 38 09 43.36173 S, 176 17 44.79990 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20033 , GROUND         ,                           464.2 ,   1888658.58,    5771267.37, 38 09 37.10912 S, 176 17 40.32746 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20034 , GROUND         ,                           414.38,   1888558.51,    5771344.96, 38 09 34.71111 S, 176 17 36.10891 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20035 , GROUND         ,                           439.33,   1888940.82,    5771138.43, 38 09 40.96038 S, 176 17 52.09467 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20036 , GROUND         ,                           461.53,   1888845.75,    5771231.52, 38 09 38.05466 S, 176 17 48.05845 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20037 , GROUND         ,                           462.26,   1888821.2 ,    5771258.7 , 38 09 37.20255 S, 176 17 47.01160 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20038 , GROUND         ,                           411.91,   1888732.05,    5771332.15, 38 09 34.92613 S, 176 17 43.24702 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20039 , GROUND         ,                           447.38,   1888933.18,    5771197.32, 38 09 39.06165 S, 176 17 51.69523 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20040 , GROUND         ,                           460.25,   1888839.67,    5771249.66, 38 09 37.47408 S, 176 17 47.78253 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20041 , GROUND         ,                           411.9 ,   1888763.51,    5771359.52, 38 09 34.00331 S, 176 17 44.49771 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20042 , GROUND         ,                           369.43,   1888670.75,    5771528.86, 38 09 28.62497 S, 176 17 40.44519 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20043 , GROUND         ,                           515.77,   1888311.23,    5771080.25, 38 09 43.57023 S, 176 17 26.35009 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20044 , GROUND         ,                           430.08,   1889020.88,    5771413.19, 38 09 31.96811 S, 176 17 54.97776 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20045 , GROUND         ,                           407.55,   1888929.62,    5771462.32, 38 09 30.48195 S, 176 17 51.16215 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20046 , GROUND         ,                           435.05,   1889091.91,    5771522.44, 38 09 28.34738 S, 176 17 57.73207 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20047 , GROUND         ,                           402.11,   1888936   ,    5771535.34, 38 09 28.10935 S, 176 17 51.31725 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20048 , GROUND         ,                           415.75,   1888900.39,    5771627.32, 38 09 25.17102 S, 176 17 49.72210 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20049 , GROUND         ,                           426.14,   1889001.13,    5771505.99, 38 09 28.98494 S, 176 17 54.03198 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20050 , GROUND         ,                           406.4 ,   1888803.22,    5771661.34, 38 09 24.18106 S, 176 17 45.68623 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20051 , GROUND         ,                           436.71,   1889106.43,    5771456.69, 38 09 30.46038 S, 176 17 58.42381 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20052 , GROUND         ,                           405.37,   1888853.75,    5771770.03, 38 09 20.60216 S, 176 17 47.60045 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20053 , GROUND         ,                           422.63,   1888884.91,    5771700.12, 38 09 22.83075 S, 176 17 48.98077 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20054 , GROUND         ,                           407.38,   1889048.74,    5771709.39, 38 09 22.34156 S, 176 17 55.68797 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20055 , GROUND         ,                           415.58,   1889050.82,    5771828.14, 38 09 18.49265 S, 176 17 55.59983 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20056 , GROUND         ,                           430.73,   1889227.69,    5771804.34, 38 09 19.05950 S, 176 18 02.89017 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20057 , GROUND         ,                           410.39,   1888948.31,    5771802.13, 38 09 19.45337 S, 176 17 51.43265 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20058 , GROUND         ,                           403.56,   1888912.94,    5771804.75, 38 09 19.40929 S, 176 17 49.97787 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20059 , GROUND         ,                           429.69,   1889234.94,    5771937.88, 38 09 14.72556 S, 176 18 02.99239 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20060 , GROUND         ,                           440.98,   1889269.53,    5771829.9 , 38 09 18.18328 S, 176 18 04.56916 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20061 , GROUND         ,                           414.2 ,   1889145.02,    5771947.58, 38 09 14.51512 S, 176 17 59.28958 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20062 , GROUND         ,                           406.51,   1889063.52,    5771917   , 38 09 15.59968 S, 176 17 55.99101 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20063 , GROUND         ,                           395.42,   1889043.48,    5771951.23, 38 09 14.51402 S, 176 17 55.11894 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20064 , GROUND         ,                           392.86,   1889105.69,    5771985.63, 38 09 13.32799 S, 176 17 57.62062 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20065 , GROUND         ,                           416.34,   1889222.88,    5772019.13, 38 09 12.10765 S, 176 18 02.37892 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20066 , GROUND         ,                           415.69,   1889231.35,    5772020.76, 38 09 12.04508 S, 176 18 02.72399 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20067 , GROUND         ,                           424.42,   1889368.36,    5771994.94, 38 09 12.72327 S, 176 18 08.38201 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20068 , GROUND         ,                           382.73,   1889096.65,    5772091.16, 38 09 09.92012 S, 176 17 57.09563 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20069 , GROUND         ,                           387.01,   1889258.06,    5772117.52, 38 09 08.88004 S, 176 18 03.67823 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20070 , GROUND         ,                           417.6 ,   1889373.18,    5772065.36, 38 09 10.43669 S, 176 18 08.47676 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20071 , GROUND         ,                           418.97,   1889475.53,    5772170.22, 38 09 06.92192 S, 176 18 12.52184 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20072 , GROUND         ,                           382.9 ,   1889421.22,    5772249.93, 38 09 04.40271 S, 176 18 10.17748 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20073 , GROUND         ,                           385.56,   1889325.94,    5772172.71, 38 09 07.01400 S, 176 18 06.38201 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20074 , GROUND         ,                           373.33,   1889423.69,    5772357.16, 38 09 00.92651 S, 176 18 10.12199 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20075 , GROUND         ,                           385.69,   1889500.05,    5772248.53, 38 09 04.35702 S, 176 18 13.41310 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20076 , GROUND         ,                           340.06,   1889875.59,    5773528.65, 38 08 22.45803 S, 176 18 26.94320 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20077 , GROUND         ,                           336.67,   1889891.91,    5773684.12, 38 08 17.40326 S, 176 18 27.38495 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20078 , GROUND         ,                           319.24,   1890045.74,    5774329.37, 38 07 56.32479 S, 176 18 32.74898 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20079 , GROUND         ,                           314.28,   1890089.61,    5774554.63, 38 07 48.97755 S, 176 18 34.21820 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20080 , GROUND         ,                           289.89,   1891317.48,    5777821.23, 38 06 01.74567 S, 176 19 19.77020 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20081 , GROUND         ,                           290.81,   1891424.55,    5777929.18, 38 05 58.12479 S, 176 19 24.00050 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20082 , LIGHT-POLE     ,                           299.61,   1890273.84,    5775369.18, 38 07 22.38015 S, 176 18 40.57964 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20083 , LIGHT-POLE     ,                           300.12,   1890247.61,    5775351.92, 38 07 22.96947 S, 176 18 39.52939 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20084 , LIGHT-POLE     ,                           300.08,   1890300.38,    5775385.98, 38 07 21.80500 S, 176 18 41.64337 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20085 , LIGHT-POLE     ,                           337.31,   1889559.08,    5773535.95, 38 08 22.58725 S, 176 18 13.95146 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20086 , LIGHT-POLE     ,                           337.13,   1889528.79,    5773545.43, 38 08 22.31516 S, 176 18 12.69527 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20087 , LIGHT-POLE     ,                           336.28,   1889590.99,    5773500.45, 38 08 23.70034 S, 176 18 15.31210 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20088 , LIGHT-POLE     ,                           335.03,   1889490.72,    5773533.49, 38 08 22.74606 S, 176 18 11.15149 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO821   , LIGHT-POLE     ,                           304.63,   1889790.61,    5774961.79, 38 07 36.13462 S, 176 18 21.36140 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO822   , LIGHT-POLE     ,                           302.55,   1889926.16,    5775083.66, 38 07 32.03041 S, 176 18 26.74122 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO853   , LIGHT-POLE     ,                           303.13,   1889892.85,    5775053.9 , 38 07 33.03307 S, 176 18 25.41893 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO854   , LIGHT-POLE     ,                           304.06,   1889858.56,    5775023.18, 38 07 34.06770 S, 176 18 24.05787 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO856   , LIGHT-POLE     ,                           304.33,   1889824.62,    5774992.58, 38 07 35.09799 S, 176 18 22.71098 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20089 , MAST           ,                           303.18,   1890888.31,    5776906.93, 38 06 31.85879 S, 176 19 03.51897 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20090 , MAST           ,                           303.23,   1890893.83,    5776908.64, 38 06 31.79675 S, 176 19 03.74266 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20091 , MAST           ,                           302.72,   1890898.32,    5776908.93, 38 06 31.78241 S, 176 19 03.92636 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO757   , MAST           ,                           299.75,   1890881.6 ,    5776891.82, 38 06 32.35578 S, 176 19 03.26600 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO80    , MAST           ,                           303.2 ,   1890890.2 ,    5776910.53, 38 06 31.73971 S, 176 19 03.59095 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20092 , MOBILE         ,                           286.61,   1890151.51,    5775863.15, 38 07 06.52105 S, 176 18 34.84081 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20093 , MOBILE         ,                           286.22,   1890092.84,    5775915.94, 38 07 04.87893 S, 176 18 32.35803 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20    , POWER-POLE     ,                           303.34,   1891615.84,    5778230.82, 38 05 48.13226 S, 176 19 31.39816 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20094 , POWER-POLE     ,                           290.22,   1890025.58,    5775987.67, 38 07 02.63326 S, 176 18 29.49534 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20095 , POWER-POLE     ,                           288.52,   1890050.41,    5776010.35, 38 07 01.87002 S, 176 18 30.48033 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20096 , POWER-POLE     ,                           288.28,   1890082.27,    5776044.17, 38 07 00.73775 S, 176 18 31.73695 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20097 , POWER-POLE     ,                           288.24,   1890110.78,    5776075.63, 38 06 59.68552 S, 176 18 32.85986 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20098 , POWER-POLE     ,                           288.63,   1890137.88,    5776106.39, 38 06 58.65776 S, 176 18 33.92598 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20099 , POWER-POLE     ,                           292   ,   1890229.98,    5775801.25, 38 07 08.43533 S, 176 18 38.14878 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20100 , POWER-POLE     ,                           293.11,   1890283.83,    5775752.25, 38 07 09.96023 S, 176 18 40.42846 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20101 , POWER-POLE     ,                           291.31,   1890280.89,    5775803.86, 38 07 08.29197 S, 176 18 40.23242 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20102 , POWER-POLE     ,                           293.19,   1890309.77,    5775728.26, 38 07 10.70729 S, 176 18 41.52717 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20103 , POWER-POLE     ,                           293.72,   1890341.9 ,    5775699.47, 38 07 11.60266 S, 176 18 42.88672 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20104 , POWER-POLE     ,                           330.1 ,   1889546.16,    5773922.71, 38 08 10.07442 S, 176 18 12.85617 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20105 , POWER-POLE     ,                           332.29,   1889607.34,    5773929.28, 38 08 09.79096 S, 176 18 15.35562 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20106 , POWER-POLE     ,                           333.12,   1889658.92,    5773927.89, 38 08 09.77641 S, 176 18 17.47301 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20107 , POWER-POLE     ,                           329.02,   1889568.85,    5773996.52, 38 08 07.65740 S, 176 18 13.67880 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20108 , POWER-POLE     ,                           330.74,   1889587.94,    5773963.67, 38 08 08.69935 S, 176 18 14.50989 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20109 , POWER-POLE     ,                           290.72,   1890084.91,    5775934.8 , 38 07 04.27720 S, 176 18 32.00526 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20110 , POWER-POLE     ,                           296.35,   1891300.05,    5777749.56, 38 06 04.08730 S, 176 19 19.16100 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20111 , POWER-POLE     ,                           297.18,   1891318.1 ,    5777787.26, 38 06 02.84515 S, 176 19 19.84528 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20112 , POWER-POLE     ,                           298.39,   1891472.2 ,    5778023.49, 38 05 55.01468 S, 176 19 25.81513 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20113 , POWER-POLE     ,                           302.16,   1891511.04,    5778009.42, 38 05 55.42520 S, 176 19 27.42790 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20114 , POWER-POLE     ,                           302.06,   1891525.33,    5778040.09, 38 05 54.41531 S, 176 19 27.96851 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20115 , POWER-POLE     ,                           300.49,   1891448.17,    5777876.27, 38 05 59.81133 S, 176 19 25.04619 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20116 , POWER-POLE     ,                           301.09,   1891473.44,    5777930.46, 38 05 58.02659 S, 176 19 26.00261 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20117 , POWER-POLE     ,                           396.14,   1888696.95,    5771679.57, 38 09 23.71301 S, 176 17 41.30011 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20118 , POWER-POLE     ,                           415.91,   1888804.93,    5771665.49, 38 09 24.04467 S, 176 17 45.75032 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20119 , POWER-POLE     ,                           333.72,   1889635.51,    5773878.52, 38 08 11.40253 S, 176 18 16.58496 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20120 , POWER-POLE     ,                           423.53,   1888897.99,    5771653.67, 38 09 24.32027 S, 176 17 49.58517 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20121 , POWER-POLE     ,                           331.06,   1889816.83,    5774150.6 , 38 08 02.38005 S, 176 18 23.62319 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20122 , POWER-POLE     ,                           332.64,   1889836.93,    5774091.43, 38 08 04.27343 S, 176 18 24.53407 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20123 , POWER-POLE     ,                           334.87,   1889852.77,    5774045.44, 38 08 05.74481 S, 176 18 25.25097 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20124 , POWER-POLE     ,                           334.63,   1889897.63,    5774072.68, 38 08 04.81061 S, 176 18 27.05082 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20125 , POWER-POLE     ,                           335.79,   1889939.84,    5774098.67, 38 08 03.91996 S, 176 18 28.74382 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20126 , POWER-POLE     ,                           334.37,   1889975.26,    5774119.52, 38 08 03.20364 S, 176 18 30.16587 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20127 , POWER-POLE     ,                           302.08,   1891662.43,    5778322.85, 38 05 45.09719 S, 176 19 33.17255 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20128 , POWER-POLE     ,                           302.1 ,   1891683.41,    5778367.16, 38 05 43.63758 S, 176 19 33.96735 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20129 , POWER-POLE     ,                           301.56,   1891705.33,    5778415.35, 38 05 42.05119 S, 176 19 34.79497 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20130 , POWER-POLE     ,                           300.44,   1891724.14,    5778454.93, 38 05 40.74730 S, 176 19 35.50776 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20131 , POWER-POLE     ,                           300.22,   1891739.44,    5778491.68, 38 05 39.53916 S, 176 19 36.08084 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO204   , POWER-POLE     ,                           304.3 ,   1891644.96,    5778286.41, 38 05 46.29782 S, 176 19 32.51004 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO27    , POWER-POLE     ,                           303.11,   1891609.02,    5778153.08, 38 05 50.65826 S, 176 19 31.23285 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO28    , POWER-POLE     ,                           302.64,   1891579.21,    5778153.94, 38 05 50.66502 S, 176 19 30.00972 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO30    , POWER-POLE     ,                           302.26,   1891544.06,    5778079.86, 38 05 53.10527 S, 176 19 28.67764 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO31    , POWER-POLE     ,                           303.22,   1891598.12,    5778194.41, 38 05 49.33219 S, 176 19 30.72535 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO34    , POWER-POLE     ,                           302.72,   1891563.32,    5778120.31, 38 05 51.77278 S, 176 19 29.40782 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO672   , POWER-POLE     ,                           290.54,   1890052.34,    5775963.7 , 38 07 03.37866 S, 176 18 30.62754 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO676   , POWER-POLE     ,                           290.93,   1890143.93,    5775881.45, 38 07 05.93721 S, 176 18 34.50341 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO677   , POWER-POLE     ,                           289.67,   1890169.56,    5776141.42, 38 06 57.48655 S, 176 18 35.17355 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO678   , POWER-POLE     ,                           291.23,   1890172.78,    5775853.86, 38 07 06.79737 S, 176 18 35.72646 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO689   , POWER-POLE     ,                           292.51,   1890256.81,    5775777.09, 38 07 09.18688 S, 176 18 39.28406 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO694   , POWER-POLE     ,                           291   ,   1890114.04,    5775907.15, 38 07 05.13931 S, 176 18 33.23996 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO759   , POWER-POLE     ,                           291.68,   1890202.33,    5775827.13, 38 07 07.62902 S, 176 18 36.97725 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO823   , POWER-POLE     ,                           304.06,   1889861.52,    5775049.35, 38 07 33.21652 S, 176 18 24.14100 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO852   , POWER-POLE     ,                           302.38,   1889898.33,    5775082.94, 38 07 32.08583 S, 176 18 25.60118 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO858   , POWER-POLE     ,                           300.05,   1889978.53,    5775156.41, 38 07 29.61358 S, 176 18 28.78258 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO859   , POWER-POLE     ,                           301.83,   1889924.37,    5775107.93, 38 07 31.24630 S, 176 18 26.63231 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO860   , POWER-POLE     ,                           301.12,   1889951.33,    5775132.26, 38 07 30.42712 S, 176 18 27.70242 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20132 , RWY-CGL-LIGHT  ,                           315.12,   1888859.43,    5774045.61, 38 08 06.88543 S, 176 17 44.51320 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20133 , RWY-CGL-LIGHT  ,                           307.89,   1888385.61,    5773726.91, 38 08 17.75411 S, 176 17 25.54536 E, 2/07/2022    , LiDAR-2022, LINZ
